Source,Pre,Pro,Post
"prose,Apuleius, Lucius","privatis simultatibus instinctum odio proprio saevire. </s><s> Sum namque custodiae nocturnae praefectus nec in hodiernum","credo","quemquam pervigilem diligentiam meam culpare posse. </s><s> Rem denique ipsam et quae nocte gesta sunt cum fide proferam. </s><s> Nam"
"prose,Cicero, Marcus Tullius","ista, inquam, de maioribus natu, sed nunquam sum adductus ut crederem; eamque suspicionem propter hanc causam","credo","fuisse, quod Fannius in mediocribus oratoribus habitus esset, oratio autem vel optuma esset illo quidem tempore"
"prose,Cicero, Marcus Tullius","aetatis tertius Curio, quia splendidioribus fortasse verbis utebatur et quia Latine non pessume loquebatur usu","credo","aliquo domestico. </s><s> nam litterarum admodum nihil sciebat; sed magni interest quos quisque audiat cotidie domi,"
"prose,Cicero, Marcus Tullius","; nec id solum domestica consuetudine ut dudum de Laeliorum et Muciorum familiis audiebamus, sed quamquam id quoque","credo","fuisse, tamen, ut esset perfecta illa bene loquendi laus, multis litteris et iis quidem reconditis et exquisitis"
"prose,Cicero, Marcus Tullius","castellanos triumphos duo. </s><s> ; at plus interfuit rei publicae castellum capi Ligurum quam bene defendi causam M. Curi. </s><s>","Credo","; sed Atheniensium quoque plus interfuit firma tecta in domiciliis habere quam Minervae signum ex ebore pulcherrimum"
"prose,Cicero, Marcus Tullius","natum velit, nec rursus ita vetere ut Opimium aut Anicium consulem quaerat--; atqui hae notae sunt optumae;:","credo","; sed nimia vetustas nec habet eam, quam quaerimus, suavitatem nec est iam sane tolerabilis--: Num igitur, qui hoc"
"prose,Cicero, Marcus Tullius",", quid tamquam notandum et animadvertendum sit in Hortensio breviter licet dicere. </s><s> Nam is post consulatum--","credo","quod videret ex consularibus neminem esse se cum comparandum, neglegeret autem eos qui consules non fuissent--"
"prose,Svetonius Tranquillus, Caius","superfuturas prouincias, si uictores Alpium iuga, ut Cimbri, uel etiam urbem, ut Senones quondam, occuparent; unde","credo","percussoribus eius postea consilium natum apud tumultuantes milites ementiendi, ipsum sibi manus intulisse nuntio"
"prose,Varro, Marcus Terentius","simul ac promiseris minerval, incipiam, inquit. </s><s> Ego vero non recuso, vel hodie vel ex ista pastione crebro. </s><s> Appius:","Credo","simul ac primum ex isto villatico pecore mortui erunt anseres aut pavones. </s><s> Cui ille: Quid enim interest, utrum"
"prose,Tertullianus, Quintus Septimius Florens","repraesentata. </s><s> ceterum qualia illa sunt, quae nec oculus vidit nec auris audivit nec in cor hominis ascenderunt? </s><s>","credo",", circo et utraque cavea et omni stadio gratiora. </s><s> Dialectica est bene disputandi scientia. </s><s> Disputamus autem utique"
"prose,Cicero, Marcus Tullius","invaserat. </s><s> Atque haec omnia communiter cum collega; alia porro propria Dolabellae, quae, nisi collega afuisset,","credo","iis futura fuisse communia. </s><s> Nam cum serperet in urbe infinitum malum idque manaret in dies latius idemque bustum in"
"prose,Cicero, Marcus Tullius","aberam, an non saepe minus frequentes fuistis, an ea res agebatur, ut etiam aegrotos deferri oporteret? </s><s> Hannibal,","credo",", erat ad portas, aut de Pyrrhi pace agebatur, ad quam causam etiam Appium illum et caecum et senem delatum esse memoriae"
"prose,Cicero, Marcus Tullius","in praesidiis multis locis collocabuntur. </s><s> '' Quid tum? </s><s> quod ita erit gestum, id lex erit? </s><s> et in aes incidi iubebitis,","credo","illa legitima: CONSULES POPULUM IURE ROGAVERUNT( hocine a maioribus accepimus ius rogandi? </s><s> ) POPULUSQUE IURE SCIVIT"
"prose,Cicero, Marcus Tullius","immortales! </s><s> - te enim intuens, Dolabella, qui es mihi carissimus, non possum utriusque vestrum errorem reticere. </s><s>","Credo","enim vos nobiles homines, magna quaedam spectantes, non pecuniam, ut quidam nimis creduli suspicantur, quae semper"
"prose,Cicero, Marcus Tullius","( quid autem est, quod tu non audeas? </s><s> ) clivum Capitolinum dicere me consule plenum servorum armatorum fuisse. </s><s> Ut illa,","credo",", nefaria senatus consulta fierent, vim adferebam senatui. </s><s> O miser, sive illa tibi nota non sunt( nihil enim boni nosti"
"prose,Cicero, Marcus Tullius","? </s><s> C. Cassius in ea familia natus quae non modo dominatum, sed ne potentiam quidem cuiusquam ferre potuit, me auctorem,","credo",", desideravit; qui etiam sine his clarissimis viris hanc rem in Cilicia ad ostium fluminis Cydni confecisset, si ille"
"prose,Cicero, Marcus Tullius",", beneficio legis dissolveret. </s><s> Quam attulisti rationem populo Romano, cur in eum restitui oporteret? </s><s> Absentem,","credo",", in reos relatum; rem indicta causa iudicatam; nullum fuisse de alea lege iudicium; vi oppressum et armis; postremo,"
"prose,Cicero, Marcus Tullius","sine mente, sine sensu sis, ut es, tamen et te et tua et tuos nosti. </s><s> Nec vero te umquam neque vigilantem neque in somnis","credo","posse mente consistere. </s><s> Necesse est, quamvis sis, ut es, vinulentus et furens, cum tibi obiecta sit species"
"prose,Cicero, Marcus Tullius",", et consul et homo nequissimus. </s><s> Quid est enim aliud Antonius? </s><s> Nam, si dignitas significaretur in nomine, dixisset,","credo",", aliquando avus tuus se et consulem et Antonium. </s><s> Numquam dixit. </s><s> Dixisset etiam conlega meus, patruus tuus, nisi si tu"
"prose,Cicero, Marcus Tullius",", cum tuorum, tum fis religiosus. </s><s> Quid? </s><s> eundem in septemviratu nonne destituisti? </s><s> intervenit enim, cui metuisti,","credo",", ne salvo capite negare non posses. </s><s> Omnibus eum contumeliis onerasti, quem patris loco, si ulla in te pietas esset,"
"prose,Cicero, Marcus Tullius","! </s><s> Qua re tibi nuntiata, ut constabat inter eos, qui una fuerunt, concidisti. </s><s> Quid evenerit postea nescio; metum","credo","valuisse et arma; conlegam quidem de caelo detraxisti effecistique non tu quidem etiam nunc, ut similis tui, sed certe"
"prose,Cicero, Marcus Tullius","solum, verum etiam aditu prohibere Capitoli? </s><s> Cui senatus consulto ne intercederent, verebatur? </s><s> De supplicatione,","credo",", M. Lepidi, clarissimi viri. </s><s> At quod erat periculum, de cuius honore extraordinario cotidie aliquid cogitabamus, ne"
"prose,Cicero, Marcus Tullius","duos legatos Uticae reliquerat. </s><s> Deinde M. Cusini Sicilia, Q. Cassi Hispania. </s><s> Non habeo, quid suspicer; duarum","credo","provinciarum sortes minus divinas fuisse. </s><s> O C. Caesar( adulescentem appello), quam tu salutem rei publicae"
"prose,Cicero, Marcus Tullius","nervos belli, pecuniam infinitam, qua nunc eget, deinde equitatum, quantum velit? </s><s> Equitatum dico; dubitabit,","credo",", gentis barbaras se cum adducere. </s><s> Hoc qui non videt, excors, qui, cum videt, decernit, impius est. </s><s> Tu civem sceleratum"
"prose,Cicero, Marcus Tullius",". </s><s> Huc nisi venirem Kalendis Septembribus, etiam fabros se missurum et domum meam disturbaturum esse dixit. </s><s> Magna res,","credo",", agebatur; de supplicatione referebat. </s><s> Veni postridie, ipse non venit. </s><s> Locutus sum de re publica minus equidem"
"prose,Cicero, Marcus Tullius","inparatis in illam ultimam Galliam penetrare potuisset, quantus rei publicae terror impenderet? </s><s> Dubitaret,","credo",", homo amentissimus atque in omnibus consiliis praeceps et devius non solum cum exercitu suo, sed etiam cum omni"
"prose,Cicero, Marcus Tullius",", A. Hirtius consul? </s><s> at qua inbecillitate, qua macie! </s><s> Sed animi vires corporis infirmitas non retardavit. </s><s> Aequum,","credo",", putavit vitam, quam populi Romani votis retinuisset, pro libertate populi Romani in discrimen adducere. </s><s> Quid? </s><s> cum"
"prose,Cicero, Marcus Tullius","poteramus; exorare nunc, ut sis popularis, non possumus. </s><s> Satis multa cum Fufio ac sine odio omnia, nihil sine dolore. </s><s>","Credo","autem, qui generi querelam moderate ferat, aequo animo laturum amici. </s><s> Venio ad reliquos consularis, quorum nemo est("
"prose,Cicero, Marcus Tullius","rationes ad Opis, id est, ne septiens miliens reciperetur, ne fraudi sit septemviris, quod egissent. </s><s> Nucula hoc,","credo",", admonuit; verebatur fortasse, ne amitteret tantas clientelas. </s><s> Caveri etiam volt iis, qui se cum sint, quicquid"
"prose,Cicero, Marcus Tullius",", nec vos vestram nec rei publicae dignitatem tenere potuistis. </s><s> Et tamen nescio quo pacto sapientia quadam,","credo",", quod ego non possem, non nimis irati revertistis. </s><s> Vobis M. Antonius nihil tribuit clarissimis viris legatis populi"
"prose,Cicero, Marcus Tullius","debuisse. </s><s> Quid ergo agunt nunc tot exercitus, nisi ut obsidione Brutus liberetur? </s><s> qui autem hos exercitus ducunt? </s><s> Ii,","credo",", qui C. Caesaris actas everti, qui causam veteranorum prodi volunt. </s><s> Si ipse viveret C. Caesar, acrius, credo, acta sua"
"prose,Cicero, Marcus Tullius","? </s><s> Ii, credo, qui C. Caesaris actas everti, qui causam veteranorum prodi volunt. </s><s> Si ipse viveret C. Caesar, acrius,","credo",", acta sua defenderet, quam vir fortissimus defendit Hirtius, aut amicior causae quisquam inveniri potest quam"
"prose,Cicero, Marcus Tullius","ferre fastidium. </s><s> An nos conantis servitutis vincla rumpere impediet, si quis veteranos nolle dixerit? </s><s> Non sunt enim,","credo",", innumerabiles, qui pro communi libertate arma capiant; nemo est praeter veteranos milites vir, qui ad servitutem"
"prose,Cicero, Marcus Tullius","et mimas habere vicinos. </s><s> Ad has pestis opprimendas cur moleste feramus quod M. Bruti accessit exercitus? </s><s> inmoderati,","credo",", hominis et turbulenti; videte ne nimium paene patientis. </s><s> Etsi in illius viri consiliis atque factis nihil nec nimium"
"prose,Cicero, Marcus Tullius","imperio provinciam Asiam optinentem Samiario exuli tradidit, interficere captum statim noluit, ne nimis,","credo",", in victoria liberalis videretur. </s><s> Cum verborum contumeliis optimum virum incesto ore lacerasset, tum Veribus ac"
"prose,Cicero, Marcus Tullius","potentia, qui ex aedilitate consulatum petit, solvatur legibus; quamquam leges eum non tenent propter eximiam,","credo",", dignitatem. </s><s> At hic me defendente quinquiens absolutus est; sexta palma urbana etiam in gladiatore difficilis. </s><s> Sed"
"prose,Cicero, Marcus Tullius","amici pacem appellare mallent, de imponendis, non accipiendis legibus cogitare. </s><s> Auxerat autem meam quidem spem,","credo","item vestram, quod domum Antoni afflictam maestitia audiebam, lamentari uxorem. </s><s> Hic etiam fautores Antoni, quorum"
"prose,Cicero, Marcus Tullius","sis! </s><s> Sed maximum crimen audite. </s><s> '' Denique quid non aut probastis aut fecistis, quod faciat, si reviviscat,''- Quis? </s><s>","credo","enim, adferet aliquod scelerati hominis exemplum. </s><s> '' Cn. Pompeius ipse''- O nos turpes, siquidem Cn. Pompeium imitati"
"prose,Cicero, Marcus Tullius","sit, alteris caedes bonorum, urbis Italiaeque partitio? </s><s> Veniamus aliquando ad clausulam. </s><s> '' Legatos venire non","credo",". </s><s> '' Bene me novit quod venias, proposito praesertim exemplo Dolabellae. </s><s> Sanctiore erunt, credo, iure legati quam duo"
"prose,Cicero, Marcus Tullius",". </s><s> '' Legatos venire non credo. </s><s> '' Bene me novit quod venias, proposito praesertim exemplo Dolabellae. </s><s> Sanctiore erunt,","credo",", iure legati quam duo consules, contra quos arma fert, quam Caesar, cuius patris flamen est, quam consul designatus,"
"prose,Cicero, Marcus Tullius","appellat clarissimus vir; quae sunt urbanarum maledicta litium, non inustae belli internecivi notae. </s><s> Testamenta,","credo",", subiciunt aut eiciunt vicinos aut adulescentulos circumscribunt; his enim vitiis adfectos et talibus malos"
"prose,Cicero, Marcus Tullius","enim per hos dies creberrimum fuisse sermonem, me Parilibus, qui dies hodie est, cum fascibus descensurum. </s><s> In aliquem","credo","hoc gladiatorem aut latronem aut Catilinam esse conlatum, non in eum, qui, ne quid tale in re publica fieri posset,"
"prose,Seneca, Lucius Annaeus","quam coronatos voco; non enim colorem vestium quibus praetexta sunt corpora aspicio. </s><s> Oculis de homine non","credo",", habeo melius et certius lumen quo a falsis vera diiudicem: animi bonum animus inveniat. </s><s> Hic, si umquam respirare illi"
"prose,Cicero, Marcus Tullius","quem nunc respirare libere non sinis, quem nunc interficere nefarie cupis, eum tum pudenter appellare nolebas. </s><s> Ita","credo","; hominem propinquum, tui observantem, virum bonum, pudentem, maiorem natu nolebas aut non audebas appellare; saepe"
"prose,Cicero, Marcus Tullius","; iudicium postulas, non recusat. </s><s> Quid aliud sit absentem defendi ego non intellego. </s><s> At quis erat procurator? </s><s>","Credo","aliquem electum hominem egentem, litigiosum, improbum, qui posset scurrae divitis cotidianum convicium sustinere"
"prose,Cicero, Marcus Tullius","per te fiat quo minus, quae existimatio P. Quinctium usque ad senectutem produxit, eadem usque ad rogum prosequatur. </s><s>","Credo","ego vos, iudices, mirari, quid sit, quod, cum tot summi oratores hominesque nobilissimi sedeant, ego potissimum"
"prose,Cicero, Marcus Tullius","putasses. </s><s> Operae pretium erat, si animadvertistis, iudices, neglegentiam eius in accusando considerare. </s><s>","Credo",", cum vidisset qui homines in hisce subselliis sederent, quaesisse num ille aut ille defensurus esset; de me ne"
"prose,Cicero, Marcus Tullius","neglegens esse coepit ut, cum in mentem veniret ei, resideret, deinde spatiaretur, non numquam etiam puerum vocaret,","credo",", cui cenam imperaret, prorsus ut vestro consessu et hoc conventu pro summa solitudine abuteretur. </s><s> Peroravit"
"prose,Cicero, Marcus Tullius",". </s><s> Intellexi quid eum pepugisset. </s><s> Iterum ac tertio nominavi. </s><s> Postea homines cursare ultro et citro non destiterunt,","credo",", qui Chrysogono nuntiarent esse aliquem in civitate qui contra voluntatem eius dicere auderet; aliter causam agi"
"prose,Cicero, Marcus Tullius","reperta erit, culpam inesse concedam. </s><s> Romae Sex. Roscius occiditur, cum in agro Amerino esset filius. </s><s> Litteras,","credo",", misit alicui sicario qui Romae noverat neminem. </s><s> Arcessivit aliquem. </s><s> Quem aut quando? </s><s> Nuntium misit. </s><s> Quem aut adquem"
"prose,Cicero, Marcus Tullius","maiores summum admisisse dedecus existimabant. </s><s> Itaque mandati constitutum est iudicium non minus turpe quam furti,","credo",", propterea quod quibus in rebus ipsi interesse non possumus, in eis operae nostrae vicaria fides amicorum supponitur"
"prose,Cicero, Marcus Tullius","est; neque enim, cum de hoc quaeritur, in dominos quaeritur; vos enim dominos esse dicitis. </s><s> Cum Chrysogono sunt. </s><s> Ita","credo","; litteris eorum et urbanitate Chrysogonus ducitur ut inter suos omnium deliciarum atque omnium artium puerulos ex"
"prose,Cicero, Marcus Tullius",". </s><s> In hac vita, iudices, quos sumptus cotidianos, quas effusiones fieri putatis, quae vero convivia? </s><s> honesta,","credo",", in eius modi domo, si domus haec habenda est potius quam officina nequitiae ac deversorium flagitiorum omnium. </s><s> Ipse"
"prose,Cicero, Marcus Tullius","non interfuisse; scis me, cum mihi summus tecum usus esset, tamen illorum expertem temporum et sermonum fuisse,","credo","quod nondum penitus in re publica versabar, quod nondum ad propositum mihi finem honoris perveneram, quod me ambitio"
"prose,Cicero, Marcus Tullius","crudelem dicerent. </s><s> Hic ait se ille, iudices, regnum meum ferre non posse. </s><s> Quod tandem, Torquate, regnum? </s><s> Consulatus,","credo",", mei; in quo ego imperavi nihil et contra patribus conscriptis et bonis omnibus parui; quo in magistratu non"
"prose,Cicero, Marcus Tullius","Romae regnum occupare conati, ut ne replices annalium memoriam, ex domesticis imaginibus invenies. </s><s> Res enim gestae,","credo",", meae me nimis extulerunt ac mihi nescio quos spiritus attulerunt. </s><s> Quibus de rebus tam claris, tam immortalibus,"
"prose,Cicero, Marcus Tullius","indicent. </s><s> Quid? </s><s> si periculum esse putasset ne illi umquam indicarent, de se ipse confessus esset? </s><s> Nesciit videlicet. </s><s>","Credo","celatum esse Cassium de Sulla uno; nam de ceteris certe sciebat; etenim domi eius pleraque conflata esse constabat. </s>"
"prose,Cicero, Marcus Tullius","posse, C. Cosconium, qui tum erat praetor, M. Messalam, qui tum praeturam petebat, P. Nigidium, App. </s><s> Claudium. </s><s>","Credo","esse neminem qui his hominibus ad vere referendum aut fidem putet aut ingenium defuisse. </s><s> Quid deinde? </s><s> quid feci? </s><s> Cum"
"prose,Cicero, Marcus Tullius","iudicio liberatus, quae habet ornamenta, quae solacia reliquae vitae quibus laetari ac perfrui possit? </s><s> Domus erit,","credo",", exornata, aperientur maiorum imagines, ipse ornatum ac vestitum pristinum recuperabit. </s><s> Omnia, iudices, haec"
"prose,Cicero, Marcus Tullius",", nihil quaesivit[ aliud] nisi iustitiam, gravitatem, humanitatem, fidem. </s><s> Tulit ut consularem necesse esset:","credo",", quod principum munus esse ducebat resistere et levitati multitudinis et perditorum temeritati. </s><s> Ex consularibus te"
"prose,Cicero, Marcus Tullius","servos, non arma, non vim? </s><s> Quae fuisset igitur iusta causa restituendi mei, nisi fuisset iniusta eiciendi? </s><s> Diem mihi,","credo",", dixerat, multam inrogarat, actionem perduellionis intenderat; et mihi videlicet in causa aut mala aut mea, non et"
"prose,Cicero, Marcus Tullius","luto, spoliatus illius supremi diei celebritate, cui cedere inimici etiam solent, ambureretur abiectus. </s><s> Non fuisse","credo","fas clarissimorum virorum formas illi taeterrimo parricidae aliquid decoris adferre, neque ullo in loco potius"
"prose,Cicero, Marcus Tullius","huic faceret insidias. </s><s> Aliter perire pestis illa non potuit: numquam illum res publica suo iure esset ulta. </s><s> Senatus(","credo",") praetorem eum circumscripsisset. </s><s> Ne cum solebat quidem id facere, in privato eodem hoc aliquid profecerat. </s><s> An"
"prose,Cicero, Marcus Tullius","existimant, ut omnia tua in te posita esse ducas humanosque casus virtute inferiores putes. </s><s> Itaque ex me quaerunt,","credo","ex hoc item Scaevola, quonam pacto mortem Africani feras, eoque magis quod proximis Nonis cum in hortos D. Bruti"
"prose,Cicero, Marcus Tullius","adgnosco nec postulo, facis amice; sed, ut mihi videris, non recte iudicas de Catone; aut enim nemo, quod quidem magis","credo",", aut si quisquam, ille sapiens fuit. </s><s> Quo modo, ut alia omittam, mortem filii tulit! </s><s> memineram Paulum, videram Galum,"
"prose,Cicero, Marcus Tullius","fieri in altero iudicarent. </s><s> Hactenus mihi videor de amicitia quid sentirem potuisse dicere; si quae praeterea sunt(","credo","autem esse multa), ab iis, si videbitur, qui ista disputant, quaeritote. </s><s> Nos autem a te potius; quamquam etiam ab istis"
"prose,Cicero, Marcus Tullius",", stulti adulescentuli. </s><s> Temeritas est videlicet florentis aetatis, prudentia senescentis. </s><s> At memoria minuitur. </s><s>","Credo",", nisi eam exerceas, aut etiam si sis natura tardior. </s><s> Themistocles omnium civium perceperat nomina; num igitur"
"prose,Cicero, Marcus Tullius","noctem quam maxime possumus vario sermone producimus. </s><s> At non est voluptatum tanta quasi titillatio in senibus. </s><s>","Credo",", sed ne desideratio quidem; nihil autem est molestum, quod non desideres. </s><s> Bene Sophocles, cum ex eo quidem iam adfecto"
"prose,Cicero, Marcus Tullius",". </s><s> Solonis quidem sapientis est elogium, quo se negat velle suam mortem dolore amicorum et lamentis vacare. </s><s> Volt,","credo",", se esse carum suis; sed haud scio an melius Ennius: Nemo me lacrumis decoret neque funera fletu faxit. </s><s> Non censet"
"prose,Cicero, Marcus Tullius","ex altissimo domicilio depressus et quasi demersus in terram, locum divinae naturae aeternitatique contrarium. </s><s> Sed","credo","deos immortalis sparsisse animos in corpora humana, ut essent, qui terras tuerentur, quique caelestium ordinem"
"prose,Cicero, Marcus Tullius","confutet quam hominum deleat religionem. </s><s> ; Tum Quintus:; Dicitur quidem istuc,; inquit,; a Cotta, et vero saepius,","credo",", ne communia iura migrare videatur; sed studio contra Stoicos disserendi deos mihi videtur funditus tollere. </s><s> Eius"
"prose,Cicero, Marcus Tullius","ipsi, ut in extremo tertio scribis, ad veritatem est visa propensior. </s><s> Sed, quod praetermissum est in illis libris(","credo",", quia commodius arbitratus es separatim id quaeri deque eo disseri), id est de divinatione, quae est earum rerum quae"
"prose,Cicero, Marcus Tullius","Enni ab ea posse describi? </s><s> Fingebat Carneades in Chiorum lapicidinis saxo diffisso caput exstitisse Panisci;","credo",", aliquam non dissimilem figuram, sed certe non talem, ut eam factam a Scopa diceres. </s><s> Sic enim se profecto res habet, ut"
"prose,Cicero, Marcus Tullius","habet vetustatis, ut eae sunt sortes, quas e terra editas accepimus; quae tamen ductae ut in rem apte cadant fieri","credo","posse divinitus. </s><s> Quorum omnium interpretes, ut grammatici poetarum, proxime ad eorum, quos interpretantur,"
"prose,Cicero, Marcus Tullius","? </s><s> Calchantem augurem scribit Homerus longe optumum, eumque ducem classium fuisse ad Ilium,- auspiciorum,","credo",", scientia, non locorum. </s><s> Amphilochus et Mopsus Argivorum reges fuerunt, sed iidem augures, iique urbis in ora"
"prose,Cicero, Marcus Tullius","restitutum. </s><s> Quod quidem somnium Sisenna cum disputavisset mirifice ad verbum cum re convenisse, tum insolenter,","credo","ab Epicureo aliquo inductus, disputat somniis credi non oportere. </s><s> Idem contra ostenta nibil disputat exponitque"
"prose,Cicero, Marcus Tullius","canebant. </s><s> ; Similiter Marcius et Publicius vates cecinisse dicuntur; quo de genere Apollinis operta prolata sunt. </s><s>","Credo","etiam anhelitus quosdam fuisse terrarum, quibus inflatae mentes oracla funderent. </s><s> LI Atque haec quidem vatium ratio"
"prose,Cicero, Marcus Tullius","Pherecydeum illud quod est a te dictum, qui, cum aquam ex puteo vidisset haustam, terrae motum dixit futurum? </s><s> Parum,","credo",", impudenter, quod, cum factus est motus, dicere audent quae vis id effecerit; etiamne futurum esse aquae iugis colore"
"prose,Cicero, Marcus Tullius","haruspices, si neuter anguis emissus esset, quid esset futurum. </s><s> ; At mors insecuta Gracchum est. </s><s> ; Causa quidem,","credo",", aliqua morbi gravioris, non emissione serpentis; neque enim tanta est infelicitas haruspicum, ut ne casu quidem"
"prose,Cicero, Marcus Tullius",", et quidem subito. </s><s> ; Itane? </s><s> Censes ante coronam herbae exstitisse quam conceptum esse semen? </s><s> Herbam autem asperam","credo","avium congestu, non humano satu; iam quicquid in capite est, id coronae simile videri potest. </s><s> Nam quod eodem tempore"
"prose,Cicero, Marcus Tullius","facillumus. </s><s> Non enim sumus ii nos augures, qui avium reliquorumve signorum observatione futura dicamus. </s><s> Et tamen","credo","Romulum, qui urbem auspicato condidit, habuisse opinionem esse in providendis rebus augurando scientiam( errabat"
"prose,Cicero, Marcus Tullius","populi Romani functus sit officio; antiquiorem enim sibi fuisse laudem et gloriam quam regnum et possessiones suas. </s><s>","Credo","id quidem, sed hoc nihil ad auspicia; nec enim ei cornix canere potuit recte eum facere, quod populi Romani libertatem"
"prose,Cicero, Marcus Tullius",", videamus ne nostra superstitione et depravatione superetur. </s><s> Quem enim tu Marium visum a me putas? </s><s> Speciem,","credo",", eius et imaginem, ut Democrito videtur. </s><s> Unde profectam imaginem? </s><s> A corporibus enim solidis et a certis figuris vult"
"prose,Cicero, Marcus Tullius","multum in animo Marius versabatur recordanti quam ille gravem suum casum magno animo, quam constanti tulisset. </s><s> Hanc","credo","causam de illo somniandi fuisse. </s><s> LXVIII Tibi autem de me cum sollicitudine cogitanti subito sum visus emersus e"
"prose,Cicero, Marcus Tullius",", Hernicos in civitatem etiam acceperunt, at Karthaginem et Numantiam funditus sustulerunt; nollem Corinthum, sed","credo","aliquid secutos, oportunitatem loci maxime, ne posset aliquando ad bellum faciendum locus ipse adhortari. </s><s> Mea"
"prose,Cicero, Marcus Tullius","in picturis usu venit in aliisque compluribus, ut delectentur imperiti laudentque ea, quae laudanda non sint, ob eam,","credo",", causam, quod insit in his aliquid probi, quod capiat ignaros, qui idem, quid in unaquaque re vitii sit, nequeant"
"prose,Cicero, Marcus Tullius","addubitare turpissimum est. </s><s> Quid ergo est quod non numquam dubitationem adferre soleat considerandumque videatur? </s><s>","Credo",", si quando dubitatio accidit, quale sit id, de quo consideretur. </s><s> Saepe enim tempore fit, ut quod turpe plerumque"
"prose,Cicero, Marcus Tullius","segreganda est. </s><s> Huius generis quaestiones sunt omnes eae, in quibus ex tempore officium exquiritur. </s><s> Eiusmodi igitur","credo","res Panaetium persecuturum fuisse, nisi aliqui casus aut occupatio eius consilium peremisset. </s><s> Ad quas ipsas"
"prose,Cicero, Marcus Tullius",", officium non reddere. </s><s> Quid? </s><s> si is, qui apud te pecuniam deposuerit, bellum inferat patriae, reddasne depositum? </s><s> Non","credo",", facies enim contra rem publicam, quae debet esse carissima. </s><s> Sic multa, quae honesta natura videntur esse,"
"prose,Plinius Gaius, Cecilius Secundus",", ipsum sibi eripere tot beneficiorum occasiones, tam numerosam obligandi imputandique materiam. </s><s> Indignum","credo","ei visum, ab homine peti, quod dii dedissent. </s><s> Sorores estis et frater, avus et nepotes, quid est ergo, cur rogetis, ut"
"prose,Plinius Gaius, Cecilius Secundus","est, quam quod insectari malos principes tutum est. </s><s> An excidit dolori nostro modo vindicatus Nero? </s><s> Permitteret,","credo",", famam vitamque eius carpi, qui mortem ulciscebatur: nec ut in se dicta interpretaretur, quae de simillimo"
"prose,Plinius Gaius, Cecilius Secundus","contingit, cuius laetissima facies et amabilis vultus in omnium civium ore, oculis, animo sedet. </s><s> LVI. </s><s> Adnotasse vos","credo",", Patres Conscripti, iamdudum me non eligere, quae referam: propositum est enim mihi, principem laudare, non"
"prose,Plinius Gaius, Cecilius Secundus","istud facturum te fuisse, si recusasses. </s><s> Stupeo, Patres Conscripti, necdum satis aut oculis meis aut auribus","credo",": atque identidem me, an audierim, an viderim, interrogo. </s><s> Imperator ergo, et Caesar, et Augustus, Pontifex maximus,"
